stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200363,"NELSON AV/HILLCREST ST",,  40.544922, -74.148605,,,0,
200364,"NELSON AV/DRIGGS ST",,  40.543518, -74.147682,,,0,
200367,"HYLAN BL/OSBORNE AV",,  40.539684, -74.148506,,,0,
200368,"HYLAN BL/ARMSTRONG AV",,  40.537521, -74.150391,,,0,
200371,"RICHMOND AV/HYLAN BL",,  40.534569, -74.154335,,,0,
200372,"RICHMOND AV/KING ST",,  40.535580, -74.156181,,,0,
200374,"RICHMOND AV/SYCAMORE ST",,  40.540195, -74.161186,,,0,
200375,"RICHMOND AV/OAKDALE ST",,  40.541832, -74.162720,,,0,
200377,"RICHMOND AV/ELTINGVILLE BL",,  40.544189, -74.165039,,,0,
200378,"RICHMOND AV/WILSON AV",,  40.545738, -74.165733,,,0,
200379,"RICHMOND AV/BARTLETT AV",,  40.547585, -74.166451,,,0,
200380,"RICHMOND AV/MEMPHIS AV",,  40.549507, -74.167229,,,0,
200381,"RICHMOND AV/KATAN AV",,  40.550877, -74.167542,,,0,
200382,"RICHMOND AV/GENESEE AV",,  40.552799, -74.167961,,,0,
200383,"RICHMOND AV/LEVERETT AV",,  40.555256, -74.168510,,,0,
200384,"RICHMOND AV/BARLOW AV",,  40.557308, -74.168968,,,0,
200385,"RICHMOND AV/GURLEY AV",,  40.559025, -74.169350,,,0,
200386,"ELTINGVILLE/TRANSIT CENTER",,  40.561035, -74.170700,,,0,
200387,"YUKON AV/WATCHMANS OFFICE",,  40.574886, -74.165154,,,0,
200388,"YUKON AV/KMART DWY",,  40.575634, -74.166733,,,0,
200389,"YUKON AV/RICHMOND AV",,  40.576977, -74.169411,,,0,
200391,"RING RD/MACYS PLATINUM AV",,  40.585079, -74.166664,,,0,
200392,"RICHMOND AV/RICHMOND HILL RD",,  40.589016, -74.167397,,,0,
200393,"RICHMOND AV/NOME AV",,  40.590878, -74.165352,,,0,
200394,"RICHMOND AV/DRAPER PL S",,  40.592571, -74.163025,,,0,
200395,"RICHMOND AV/ROCKLAND AV",,  40.595631, -74.161835,,,0,
200397,"RICHMOND AV/AMSTERDAM PL",,  40.600838, -74.162933,,,0,
200399,"RICHMOND AV/ETON PL",,  40.604488, -74.162308,,,0,
200400,"RICHMOND AV/VICTORY BL",,  40.607536, -74.162315,,,0,
200401,"RICHMOND AV/MORANI ST",,  40.610073, -74.160126,,,0,
200403,"RICHMOND AV/W CASWELL AV",,  40.616600, -74.156448,,,0,
200406,"RICHMOND AV/VEDDER AV",,  40.622620, -74.149612,,,0,
200407,"FOREST AV/RICHMOND AV",,  40.624966, -74.148422,,,0,
200408,"FOREST AV/WILLOWBROOK RD",,  40.624809, -74.144669,,,0,
200409,"PORT RICHMOND AV/SMITH PL",,  40.626461, -74.142471,,,0,
200410,"PORT RICHMOND AV/ORANGE AV",,  40.628368, -74.141823,,,0,
200411,"PORT RICHMOND AV/BEEKMAN ST",,  40.629360, -74.140800,,,0,
200412,"PORT RICHMOND AV/CATHERINE ST",,  40.630417, -74.139534,,,0,
200413,"PORT RICHMOND AV/HOMESTEAD AV",,  40.631649, -74.138153,,,0,
200414,"PORT RICHMOND AV/HATFIELD PL",,  40.632877, -74.136848,,,0,
200416,"PORT RICHMOND AV/HARRISON AV",,  40.636597, -74.134224,,,0,
200417,"PORT RICHMOND AV/BENNETT ST",,  40.638382, -74.132904,,,0,
200426,"PORT RICHMOND AV/ANN ST",,  40.638744, -74.132957,,,0,
200427,"PORT RICHMOND AV/HARRISON AV",,  40.636459, -74.134659,,,0,
200428,"PORT RICHMOND AV/CHARLES AV",,  40.634724, -74.135773,,,0,
200430,"PORT RICHMOND AV/BLACKFORD AV",,  40.631527, -74.138634,,,0,
200432,"PORT RICHMOND AV/ORANGE AV",,  40.628635, -74.141869,,,0,
200434,"FOREST AV/RICHMOND AV",,  40.625217, -74.148987,,,0,
200437,"RICHMOND AV/VEDDER AV",,  40.622272, -74.150383,,,0,
200438,"RICHMOND AV/BARON HIRSCH CEM",,  40.620197, -74.153351,,,0,
200439,"RICHMOND AV/JULES DR",,  40.618290, -74.155594,,,0,
200440,"RICHMOND AV/GOETHALS RD N",,  40.616463, -74.156868,,,0,
200441,"RICHMOND AV/LAMBERTS LA",,  40.614597, -74.157669,,,0,
200442,"RICHMOND AV/LANDER AV",,  40.612854, -74.159073,,,0,
200443,"RICHMOND AV/MERRILL AV",,  40.609947, -74.160461,,,0,
200444,"RICHMOND AV/VICTORY BL",,  40.607018, -74.162483,,,0,
200446,"RICHMOND AV/CARNEGIE AV",,  40.604103, -74.162727,,,0,
200447,"RICHMOND AV/SIGNS RD",,  40.601349, -74.163383,,,0,
200450,"RICHMOND AV/DRAPER PL",,  40.595181, -74.161987,,,0,
200451,"RICHMOND AV/TRAVIS AV",,  40.593113, -74.162735,,,0,
200452,"RICHMOND AV/NOME AV",,  40.590572, -74.166191,,,0,
200453,"RICHMOND AV/RICHMOND HILL RD",,  40.588654, -74.168144,,,0,
200454,"RING RD/MACYS PLATINUM AV",,  40.584949, -74.166916,,,0,
200455,"RING RD/SEARS PLATINUM AV",,  40.579960, -74.168526,,,0,
200456,"YUKON AV/RICHMOND AV",,  40.576622, -74.169037,,,0,
200457,"YUKON AV/KMART DWY",,  40.575645, -74.167152,,,0,
200459,"RICHMOND AV/FOREST HILL RD",,  40.570435, -74.170029,,,0,
200460,"ELTINGVILLE/TRANSIT CENTER",,  40.560669, -74.171165,,,0,
200461,"RICHMOND AV/DRUMGOOLE RD E",,  40.560036, -74.169861,,,0,
200462,"RICHMOND AV/BARLOW AV",,  40.556683, -74.169037,,,0,
200463,"RICHMOND AV/LEVERETT AV",,  40.554913, -74.168648,,,0,
200466,"RICHMOND AV/KATAN AV",,  40.550243, -74.167603,,,0,
200467,"RICHMOND AV/MEMPHIS AV",,  40.548862, -74.167297,,,0,
200468,"RICHMOND AV/SERRELL AV",,  40.547527, -74.166687,,,0,
200469,"RICHMOND AV/WILSON AV",,  40.545094, -74.165756,,,0,
200470,"RICHMOND AV/ELTINGVILLE BL",,  40.544067, -74.165199,,,0,
200471,"RICHMOND AV/AMBOY RD",,  40.542950, -74.164001,,,0,
200472,"RICHMOND AV/OAKDALE ST",,  40.541199, -74.162369,,,0,
200473,"RICHMOND AV/SYCAMORE ST",,  40.539604, -74.160866,,,0,
200474,"RICHMOND AV/KOCH BL",,  40.538029, -74.159386,,,0,
200475,"RICHMOND AV/SHIRLEY AV",,  40.536964, -74.158394,,,0,
200476,"RICHMOND AV/KING ST",,  40.535110, -74.155663,,,0,
200479,"HYLAN BL/WINCHESTER AV",,  40.535599, -74.152275,,,0,
200480,"HYLAN BL/LITTLEFIELD AV",,  40.536514, -74.151215,,,0,
200484,"NELSON AV/HYLAN BL",,  40.542675, -74.146088,,,0,
200486,"NELSON AV/MONTICELLO TER",,  40.545059, -74.148537,,,0,
200487,"NELSON AV/BELDEN ST",,  40.547413, -74.149864,,,0,
200488,"NELSON AV/AMBOY RD",,  40.549873, -74.150665,,,0,
200490,"GIFFORDS LA/KATAN AV",,  40.553551, -74.151192,,,0,
200491,"GIFFORDS LA/GIBSON AV",,  40.555679, -74.152214,,,0,
200492,"GIFFORDS LA/LEVERETT AV",,  40.557167, -74.152756,,,0,
200496,"ARTHUR KILL RD/GIFFORDS LA",,  40.563969, -74.155579,,,0,
200507,"RICHMOND RD/WILDER AV",,  40.573193, -74.134277,,,0,
200508,"RICHMOND RD/ALTOONA AV",,  40.573669, -74.131989,,,0,
200509,"RICHMOND RD/BISHOP ST",,  40.574760, -74.128693,,,0,
200524,"JEWETT AV/POST AV",,  40.631096, -74.130692,,,0,
200525,"JEWETT AV/KRAMER PL",,  40.629150, -74.130478,,,0,
200526,"JEWETT AV/FOREST AV",,  40.626457, -74.131325,,,0,
200527,"JEWETT AV/EGBERT AV",,  40.624607, -74.131958,,,0,
200528,"JEWETT AV/BURNSIDE AV",,  40.622864, -74.132195,,,0,
200529,"JEWETT AV/COLLEGE AV",,  40.620712, -74.131813,,,0,
200530,"JEWETT AV/THE BLVD",,  40.618214, -74.131416,,,0,
